	1				2			5			10
	0.000143369	0.000139398	0.000142397	0.000144244
	0.000160452	0.000159002	0.00016209	0.000163809
	9.95851e-05	9.2362e-05	0.000106221	0.000113171
	4.46804e-05	4.79642e-05	5.73696e-05	6.12498e-05
	2.59569e-05	2.26967e-05	2.39356e-05	2.48729e-05
	7.96865e-06	4.09364e-06	4.99121e-06	6.14063e-06
	1.73926e-06	1.61693e-06	1.59898e-06	1.60432e-06
	3.97512e-07	1.62855e-07	1.48987e-07	1.93968e-07
	5.44854e-08	3.54736e-08	2.87135e-08	2.79078e-08
	3.08809e-09	1.4306e-09	1.14471e-09	1.47702e-09
